time,temperature,pressure,flow
2024-01-01 00:00,72.1,101.3,12.4
2024-01-01 01:00,72.6,101.4,12.1
2024-01-01 02:00,73.2,101.2,11.8
2024-01-01 03:00,73.9,101.5,11.5
2024-01-01 04:00,74.5,101.6,11.2
2024-01-01 05:00,75.1,101.4,10.9
2024-01-01 06:00,75.8,101.7,10.6
2024-01-01 07:00,76.4,101.8,10.4
2024-01-01 08:00,77.0,101.6,10.1
2024-01-01 09:00,77.7,101.9,9.8
2024-01-01 10:00,78.3,102.0,9.5
2024-01-01 11:00,78.9,101.8,9.3
2024-01-01 12:00,79.6,102.1,9.0
2024-01-01 13:00,80.2,102.2,8.7
2024-01-01 14:00,80.8,102.0,8.5
2024-01-01 15:00,81.5,102.3,8.2
2024-01-01 16:00,82.1,102.4,8.0
2024-01-01 17:00,82.7,102.2,7.7
2024-01-01 18:00,83.4,102.5,7.5
2024-01-01 19:00,84.0,102.6,7.2
2024-01-01 20:00,84.6,102.4,7.0
2024-01-01 21:00,85.3,102.7,6.8
2024-01-01 22:00,85.9,102.8,6.5
2024-01-01 23:00,86.5,102.6,6.3
2024-01-02 00:00,87.2,102.9,6.1
